,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
0,Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
1,Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
2,Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep
3,Chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
4,Cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
5,Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor
6,Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication
7,Diabetes ,have balanced diet,exercise,consult doctor,follow up
8,Hepatitis E,stop alcohol consumption,rest,consult doctor,medication
9,Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help
10,Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment
11,(vertigo) Paroymsal  Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax
12,Varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
13,Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
14,Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy
15,Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor
16,Tuberculosis,cover mouth,consult doctor,medication,rest
17,Hepatitis C,Consult nearest hospital,vaccination,eat healthy,medication
18,Allergy,apply calamine,cover area with bandage,,use ice to compress itching
19,Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up
20,Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
21,Hypertension ,meditation,salt baths,reduce stress,get proper sleep
22,Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
23,Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
24,Dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
25,Hepatitis D,consult doctor,medication,eat healthy,follow up
26,Heart attack,call ambulance,chew or swallow asprin,keep calm,
27,Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths
28,Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
29,AIDS,avoid open cuts,wear ppe if possible,consult doctor,follow up
30,Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor
31,Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
32,GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
33,Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
34,Pneumonia,consult doctor,medication,rest,follow up
35,hepatitis A,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
36,Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
37,Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
38,Arthritis,exercise,use hot and cold therapy,try acupuncture,massage
39,Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
40,Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
